                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.5992,                0.96504,                 1.0556,                0.79883,                0.69834,                0.78038,                0.43859,                 1.5746,                0.99203,                 1.0864,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.6032,                 0.9604,                 1.0549,                0.80115,                0.71225,                0.78595,                0.44784,                 1.5395,                0.97667,                 1.0798,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5978,                0.96213,                  1.056,                0.80587,                0.69225,                 0.7802,                 0.4463,                 1.5454,                0.97691,                 1.0813,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6152,                0.96259,                 1.0491,                0.80443,                0.71419,                0.78971,                0.45168,                 1.5267,                0.98105,                  1.074,               0.000416,               0.000416,               0.000416
                     82,                 1.6006,                0.96374,                 1.0522,                0.80846,                0.70469,                0.78994,                0.45109,                 1.5321,                0.97642,                 1.0768,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5862,                0.95239,                 1.0441,                0.80218,                0.71196,                0.78955,                0.45392,                 1.5376,                  0.967,                 1.0835,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5952,                0.94893,                 1.0449,                0.81234,                 0.7138,                0.79716,                0.45679,                 1.5278,                0.96424,                 1.0732,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5798,                0.94191,                 1.0466,                 0.8116,                0.71216,                0.79311,                0.45866,                 1.5234,                0.96734,                 1.0739,              0.0003368,              0.0003368,              0.0003368
                     86,                  1.577,                0.93371,                 1.0387,                0.82521,                0.71557,                0.80068,                0.46584,                 1.5046,                0.95219,                 1.0676,               0.000317,               0.000317,               0.000317
                     87,                 1.5697,                0.93112,                 1.0412,                0.81388,                0.72076,                0.80092,                0.47017,                 1.4998,                0.94475,                 1.0664,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5504,                0.92074,                 1.0361,                0.82175,                0.71864,                0.80325,                 0.4719,                 1.4969,                0.94233,                 1.0665,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5609,                 0.9275,                 1.0382,                0.82143,                0.71487,                0.80319,                0.47348,                 1.4867,                0.92993,                 1.0611,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5592,                0.93475,                 1.0387,                0.82119,                0.71806,                0.80408,                0.47434,                 1.4823,                0.93779,                 1.0573,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5475,                0.92564,                 1.0515,                0.80999,                 0.7076,                0.79091,                0.45815,                 1.5272,                0.97047,                 1.0806,               0.000218,               0.000218,               0.000218
                     92,                 1.4991,                 0.8884,                 1.0386,                0.81279,                0.72184,                0.80246,                0.46751,                 1.4968,                0.94427,                 1.0638,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.4679,                0.86361,                 1.0329,                0.82356,                0.71693,                0.80574,                0.47417,                 1.4833,                0.93339,                 1.0631,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.4609,                0.85719,                 1.0282,                0.81655,                0.72593,                0.80796,                0.47571,                 1.4868,                0.93549,                 1.0595,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4534,                0.85435,                  1.024,                0.82018,                0.72232,                0.80651,                0.47563,                 1.4804,                0.93166,                 1.0594,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4454,                0.85353,                 1.0206,                0.82114,                 0.7243,                0.80905,                0.48161,                 1.4685,                0.92546,                 1.0531,               0.000119,               0.000119,               0.000119
                     97,                 1.4538,                0.85291,                 1.0244,                0.82699,                0.71942,                0.80799,                0.48159,                  1.465,                0.92537,                 1.0546,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                   1.44,                0.84609,                 1.0178,                0.82681,                0.72773,                0.81299,                0.48372,                 1.4627,                0.91976,                 1.0536,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                   1.43,                0.83646,                 1.0138,                0.82789,                0.72929,                0.81529,                0.48586,                 1.4578,                0.91696,                 1.0507,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.4317,                  0.835,                 1.0216,                0.83003,                0.72396,                0.81442,                 0.4871,                 1.4544,                0.91452,                 1.0505,               3.98e-05,               3.98e-05,               3.98e-05
